10 40 1      40 20 0      
9 40 0      41 20 0      
8 40 0      42 20 0      
7 40 0      43 20 0      
6 40 0      43 21 0      
5 40 0      43 22 0      
4 40 0      44 22 0      
3 40 0      45 22 0      
2 40 0      46 22 0      
1 40 0      47 22 0      
50 40 0      48 22 0      
49 40 0      49 22 0      
48 40 0      0 22 0      
47 40 0      1 22 0      
46 40 1      2 22 0      
45 40 0      3 22 0      
44 40 0      4 22 0      
43 40 0      4 23 0      
42 40 0      4 24 0      
41 40 0      4 25 0      
40 40 0      5 25 0      
39 40 0      6 25 0      
38 40 0      7 25 0      
37 40 0      8 25 0      
36 40 0      9 25 0      
35 40 0      10 25 0      
34 40 0      11 25 0      
33 40 0      12 25 0      
32 40 0      12 24 0      
31 40 0      11 24 0      
30 40 0      10 24 0      
29 40 0      9 24 0      
28 40 0      8 24 0      
27 40 0      7 24 0      
26 40 0      6 24 0      
25 40 0      5 24 0      
24 40 0      4 24 0      
23 40 0      4 25 0      
22 40 0      4 26 0      
21 40 0      4 27 0      
20 40 0      4 28 0      
19 40 0      4 29 0      
18 40 0      3 29 0      
17 40 0      3 30 0      
16 40 0      3 31 0      
15 40 0      3 32 0      
14 40 0      3 33 0      
13 40 0      3 34 0      
12 40 0      3 35 0      
11 40 0      3 36 0      
10 40 0      3 37 0      
9 40 0      3 38 0      
8 40 0      3 39 0      
7 40 0      3 40 0      
6 40 0      3 41 0      
5 40 0      3 42 0      
4 40 0      3 43 0      
3 40 0      3 44 0      
2 40 0      3 45 0      
1 40 0      3 46 0      
