10 40 1      40 20 0      
9 40 0      40 21 0      
8 40 0      40 22 0      
7 40 0      40 23 0      
6 40 0      40 24 0      
5 40 0      39 24 0      
4 40 0      38 24 0      
3 40 0      37 24 0      
2 40 0       37 24 1      
2 40 0       37 24 1      
2 40 0      36 24 0      
1 40 0      35 24 0      
50 40 0      34 24 0      
49 40 0       34 24 1      
49 40 0      33 24 0      
48 40 0      32 24 0      
47 40 0      32 25 0      
46 40 0      32 26 0      
45 40 0      32 27 0      
44 40 0      32 28 0      
43 40 0      32 29 0      
42 40 0      32 30 0      
41 40 0      32 31 0      
40 40 0       32 31 1      
40 40 0      32 32 0      
39 40 1      32 33 0      
38 40 0      32 34 0      
37 40 0      32 35 0      
36 40 0      32 36 0      
35 40 0      32 37 0      
34 40 0      32 38 0      
33 40 0      32 39 0      
32 40 0      32 40 0      
31 40 0      32 41 0      
30 40 0      32 42 0      
29 40 0      31 42 0      
28 40 0      30 42 0      
27 40 0      29 42 0      
26 40 0      28 42 0      
25 40 0      28 43 0      
24 40 0      27 43 0      
23 40 0      26 43 0      
22 40 0      25 43 0      
21 40 0      25 44 0      
20 40 0      25 45 0      
19 40 0      24 45 0      
18 40 0      23 45 0      
17 40 0      22 45 0      
16 40 0      21 45 0      
15 40 0      20 45 0      
14 40 0      19 45 0      
13 40 0       19 45 1      
13 40 0      18 45 0      
12 40 0      17 45 0      
11 40 0      16 45 0      
10 40 0      15 45 0      
9 40 0      14 45 0      
8 40 0      13 45 0      
7 40 0      12 45 0      
6 40 0      11 45 0      
5 40 0      10 45 0      
4 40 0      10 44 0      
3 40 0      10 43 0      
2 40 0      10 42 0      
1 40 0      10 41 0      
50 40 0      10 40 0      
49 40 0      10 39 0      
48 40 0      10 38 0      
