10 40 1      40 20 0      
9 40 0      40 21 0      
8 40 0      41 21 0      
7 40 0      42 21 0      
6 40 0      43 21 0      
5 40 0      44 21 0      
4 40 0      45 21 0      
3 40 0      46 21 0      
2 40 0      47 21 0      
1 40 0      47 20 0      
50 40 0      47 19 0      
49 40 0      47 18 0      
48 40 0      47 17 0      
47 40 0      47 16 0      
46 40 0      47 15 0      
45 40 0      47 14 0      
44 40 0      47 13 0      
43 40 0      47 12 0      
42 40 0      48 12 0      
41 40 0      48 13 0      
40 40 1      48 14 0      
39 40 0      48 15 0      
38 40 0      48 16 0      
37 40 0      48 17 0      
36 40 0      48 18 0      
35 40 0      48 19 0      
34 40 1      48 20 0      
33 40 0      48 21 0      
32 40 0      48 22 0      
31 40 0      48 23 0      
30 40 0      48 24 0      
29 40 0      48 25 0      
28 40 0      48 26 0      
27 40 0       48 26 1      
27 40 0      47 26 0      
26 40 0      46 26 0      
25 40 0      45 26 0      
24 40 0      44 26 0      
23 40 0      43 26 0      
22 40 0      42 26 0      
21 40 0      42 25 0      
20 40 0      42 24 0      
19 40 0      42 23 0      
18 40 0      42 22 0      
17 40 1      42 21 0      
16 40 0      42 20 0      
15 40 0      42 19 0      
14 40 0      42 18 0      
13 40 0      42 17 0      
12 40 0      42 16 0      
11 40 0       42 16 1      
11 40 0      42 15 0      
10 40 0      42 14 0      
9 40 0      42 13 0      
8 40 0      42 12 0      
7 40 0      42 11 0      
6 40 0      42 10 0      
5 40 0      42 9 0      
4 40 0      42 8 0      
3 40 0      41 8 0      
2 40 0      40 8 0      
1 40 0      39 8 0      
50 40 0      38 8 0      
49 40 0      37 8 0      
48 40 0      36 8 0      
47 40 0      35 8 0      
46 40 0      34 8 0      
45 40 0      33 8 0      
44 40 0      32 8 0      
43 40 0      31 8 0      
42 40 0       31 8 1      
